mjsdxxb12q3bA01	16的平方根是（)<br/>
mjsdxxb12q3bA1801	如果\\[3x+12\\]的立方根是3,求\\[2x+6\\]的平方根.<br/>
mjsdxxb12q3bA1802	已知一个正数的两个平方根是\\[2a-1\\]与\\[-a+2\\].求\\[{{a}^{2017}}\\]的值.<br/>
mjsdxxb12q3bA19	在解答“判断由线段长分别为\\[\\frac{6}{5}\\]、2、\\[\\frac{8}{5}\\]组成的三角形是不是直角三角形”一题中，lisa同学是这样做的：因\\[{{\\left( \\frac{6}{5} \\right)}^{2}}+{{2}^{2}}=\\frac{36}{25}+\\frac{100}{25}=\\frac{136}{25}\\]，\\[{{\\left( \\frac{8}{5} \\right)}^{2}}=\\frac{64}{25}\\]，\\[{{\\left( \\frac{6}{5} \\right)}^{2}}+{{2}^{2}}\\ne {{\\left( \\frac{8}{5} \\right)}^{2}}\\]，所以这个三角形不是直角三角形.lisa同学的做法对吗？为什么？<br/>
mjsdxxb12q3bA18	\N
mjsdxxb12q3bA17	计算:<br/>
mjskbkszyb7B8czzjc01	下列运算结果为\\[{{x}^{5}}\\]的是（    ）。<br/>
mjskbkszyb7B8czzjc02	下列计算正确的是（   ）。<br/>
mjskbkszyb7B8czzjc03	将\\[2.05\\times {{10}^{-3}}\\]用小数表示为（    ）。<br/>
mjskbkszyb7B8czzjc04	若\\[{{a}^{m}}=2,{{a}^{n}}=3\\]，则\\[{{a}^{m+n}}\\]的值为（    ）。<br/>
mjskbkszyb7B8czzjc05	计算\\[{{25}^{m}}\\div {{5}^{m}}\\]的结果为（    ）。<br/>
mjskbkszyb7B8czzjc06	如果\\[a={{\\left( -99 \\right)}^{0}},b={{\\left( -0.1 \\right)}^{-1}},c={{\\left( -\\frac{5}{3} \\right)}^{-2}}\\]，那么\\[a\\]、\\[b\\]、\\[c\\]的大小关系为（   ）。<br/>
mjskbkszyb7B8czzjc07	计算\\[{{\\left( {{x}^{2}}\\cdot {{x}^{n-1}}\\cdot {{x}^{1+n}} \\right)}^{3}}\\]的结果为（    ）。<br/>
mjskbkszyb7B8czzjc08	若等式\\[{{\\left( x-2 \\right)}^{2x}}=1\\]，则\\[x\\]的值为（    ）。<br/>
mjskbkszyb7B8czzjc09	某颗粒物的直径是\\[0.0000025\\text{m}\\]，把\\[0.0000025\\]用科学记数法表示为______。<br/>
mjskbkszyb7B8czzjc10	\\[a\\bullet {{a}^{2}}=\\_\\_\\_\\_\\_\\_\\_;{{({{x}^{2}}y)}^{3}}=\\_\\_\\_\\_\\_\\_\\_\\_;{{(2\\times {{10}^{-7}})}^{2}}=\\_\\_\\_\\_\\_\\_\\_\\_\\]。<br/>
mjskbkszyb7B8czzjc11	\\[\\_\\_\\_\\_\\times {{2}^{n-1}}={{2}^{2n+3}}\\]。<br/>
mjskbkszyb7B8czzjc12	计算：\\[{{8}^{2018}}\\times {{\\left( -0.125 \\right)}^{2019}}=\\_\\_\\_\\_\\_\\_\\_\\_\\]。<br/>
mjskbkszyb7B8czzjc13	若有理数\\[m\\]、\\[n\\]满足\\[\\left| m-2 \\right|+{{(n+2017)}^{2}}=0\\]，则\\[{{m}^{-1}}+{{n}^{0}}=\\_\\_\\_\\_.\\]<br/>
mjskbkszyb7B8czzjc14	已知\\[a=\\frac{{{99}^{9}}}{{{9}^{99}}},b=\\frac{{{11}^{9}}}{{{9}^{90}}}\\]，比较大小：\\[a\\] ____\\[b\\] （填“\\[>\\]”“\\[<\\] ”或“\\[=\\]”）.<br/>
mjskbkszyb7B8czzjc15	计算：<br/>（1）\\[{{\\left( {{a}^{2}} \\right)}^{4}}\\cdot {{\\left( -a \\right)}^{3}}\\]；               （2）\\[-{{\\left( y-x \\right)}^{2}}\\cdot {{\\left( x-y \\right)}^{3}}\\cdot {{\\left( y-x \\right)}^{4}}\\]；\	<br/>（3）\\[-{{\\left( {{a}^{2}}b{{c}^{3}} \\right)}^{14}}\\div {{\\left( a{{b}^{2}}{{c}^{3}} \\right)}^{3}}\\]；       （4）\\[{{\\left( -2x \\right)}^{5}}-{{\\left( -x \\right)}^{3}}\\cdot {{\\left( -x \\right)}^{2}}\\]；<br/>（5）\\[{{\\left( -1 \\right)}^{2018}}-{{\\left( 0.5 \\right)}^{-1}}-{{\\left( \\frac{1}{3} \\right)}^{-2}}+{{\\left( \\pi -1 \\right)}^{0}}.\\]<br/>
mjskbkszyb7B8czzjc16	已知\\[a+4=-3b\\]，求\\[{{3}^{a}}\\times {{27}^{b}}\\]的值.<br/>
mjskbkszyb7B8czzjc17	已知\\[4\\times {{16}^{m}}\\times {{64}^{m}}={{4}^{21}}\\]，求\\[{{\\left( -{{m}^{2}} \\right)}^{3}}\\div \\left( {{m}^{3}}\\cdot {{m}^{2}} \\right)\\]的值.<br/>
mjskbkszyb7B8czzjc18	解关于\\[x\\]的方程：\\[{{3}^{x+1}}\\times {{2}^{x}}-{{3}^{x}}\\times {{2}^{x+1}}=216.\\] <br/>
mjskbkszyb7B8czzjc19	已知\\[{{a}^{3m}}=64,{{a}^{n}}=8,\\]求代数式\\[{{\\left( {{a}^{3n-2m}}-33 \\right)}^{2019}}\\]的值.<br/>
mjskbkszyb7B8czzjc20	如果\\[{{10}^{b}}=n\\]，那么\\[b\\]为\\[n\\]的劳格数，记为\\[b=d(n)\\]，由定义可知：\\[{{10}^{b}}=n\\]与\\[b=d(n)\\]表示\\[b\\]、\\[n\\]两个量之间的同一关系，例如：\\[{{10}^{1}}=10,d(10)=1\\] 。<br/>（1）根据劳格数的定义，填空：\\[d({{10}^{2}})=\\_\\_\\_\\_\\_.\\] <br/>（2）劳格数有如下运算性质：若\\[m,n\\]为正数，则\\[d(mn)=d(m)+d(n),d(\\frac{m}{n})=d(m)-d(n)\\]。根据运算性质，填空：\\[\\frac{d({{a}^{3}})}{d(a)}=\\_\\_\\_\\_\\_\\] （\\[a\\]为正数），若\\[d(2)=0.301,\\]，则\\[d(16)=\\_\\_\\_\\_,d(5)=\\_\\_\\_\\_.\\]<br/>（3）如表中与数\\[x\\]对应的劳格数\\[d(x)\\]有且只有两个是错误的：请找出错误的劳格数，并求出正确的劳格数。<br/><img src='http://qfile.bd.starclink.com/bigdata_q_mjskbkszyb7B8czzjc20__img_0.png?t=1521188318640' style='width:491.19pt;height:44.99pt;max-width:100%;'/><br/>
mjskbkszyb7B9c1ks01	计算\\[2{{a}^{3}}\\cdot \\left( -{{a}^{2}} \\right)\\]的正确结果是（   ）.<br/>
mjskbkszyb7B9c1ks02	计算\\[{{\\left( 2{{m}^{2}} \\right)}^{3}}\\cdot \\frac{1}{2}m\\]的结果是（   ）.<br/>
mjskbkszyb7B9c1ks03	下列各式：①\\[3{{a}^{3}}\\cdot {{\\left( 2{{a}^{2}} \\right)}^{2}}=12{{a}^{12}}\\]；②\\[\\left( 2\\times {{10}^{3}} \\right)\\times \\left( \\frac{1}{2}\\times {{10}^{3}} \\right)={{10}^{6}}\\]；③\\[-3xy\\cdot {{\\left( -2xyz \\right)}^{2}}=12{{x}^{3}}{{y}^{3}}{{z}^{2}}\\]；④\\[4{{x}^{3}}\\cdot 5{{x}^{4}}=9{{x}^{12}}\\]。其中，正确的个数是（   ）。<br/>
mjskbkszyb7B9c1ks0401	\\[4x\\cdot {{x}^{4}}=\\_\\_\\_\\_\\_;\\left( -3{{x}^{3}}y \\right)\\cdot \\left( -{{x}^{4}} \\right)\\cdot \\left( -{{y}^{3}} \\right)=\\_\\_\\_\\_.\\]<br/>
mjskbkszyb7B9c1ks0402	\\[\\left( -2x{{y}^{2}} \\right)\\cdot \\left( \\_\\_\\_\\_ \\right)=8{{x}^{3}}{{y}^{2}}z;\\left( \\_\\_\\_\\_ \\right){{\\left( {{x}^{2}}y \\right)}^{2}}=-{{x}^{5}}{{y}^{3}}\\]。<br/>
mjskbkszyb7B9c1ks05	计算：<br/>（1）\\[4x{{y}^{2}}\\cdot \\left( -\\frac{3}{8}{{x}^{2}}y{{z}^{3}} \\right)\\]；     （2）\\[\\left( 1.2\\times {{10}^{3}} \\right)\\times \\left( 2.5\\times {{10}^{11}} \\right)\\times \\left( 4\\times {{10}^{9}} \\right)\\]；<br/>（3）\\[{{\\left( -a{{b}^{2}}{{c}^{3}} \\right)}^{4}}\\cdot {{\\left( -3{{a}^{2}}b \\right)}^{3}}\\]；   （4）\\[\\frac{2}{5}{{x}^{2}}y\\cdot {{\\left( 0.5xy \\right)}^{2}}-{{\\left( -2x \\right)}^{3}}\\cdot x{{y}^{3}}\\]。<br/>
mjskbkszyb7B9c1ks06	如果单项式\\[-3{{x}^{4a-1}}{{y}^{b}}\\]与\\[\\frac{1}{3}{{x}^{1+2a}}{{y}^{2-b}}\\]是同类项，那么这两个单项式的积是多少？<br/>
mjskbkszyb7B9c1ks07	下列运算正确的是（    ）。<br/>
mjskbkszyb7B9c1ks08	计算\\[{{\\left( -3x \\right)}^{2}}\\cdot 4{{x}^{2}}\\]的结果是（   ）。<br/>
mjskbkszyb7B9c1ks09	计算\\[{{\\left( -\\frac{2}{3}\\times {{10}^{3}} \\right)}^{2}}\\times {{\\left( 1.5\\times {{10}^{4}} \\right)}^{2}}\\]的结果是（    ）。<br/>
mjskbkszyb7B9c1ks10	若\\[{{x}^{3}}{{y}^{n-1}}\\cdot {{x}^{m+1}}{{y}^{2n+2}}={{x}^{9}}{{y}^{7}}\\]，则\\[4m-3n\\]的值为（    ）。<br/>
mjskbkszyb7B9c1ks1101	\\[2a\\cdot {{a}^{2}}=\\_\\_\\_\\_\\_\\_\\_\\_\\]； <br/>
mjskbkszyb7B9c1ks1102	\\[(-5{{a}^{4}})\\cdot (-8a{{b}^{2}})=\\_\\_\\_\\_\\_\\_\\_\\_\\_\\]；<br/>
mjskbkszyb7B9c1ks1103	\\[-6{{a}^{2}}b\\cdot {{\\left( \\frac{1}{2}abc \\right)}^{2}}=\\_\\_\\_\\_\\_\\_\\_\\_\\_\\]；<br/>
mjskbkszyb7B9c1ks1104	\\[{{\\left( -3{{a}^{3}} \\right)}^{2}}\\cdot {{\\left( -2{{a}^{2}} \\right)}^{3}}=\\_\\_\\_\\_\\_\\_\\_\\_\\]。<br/>
mjskbkszyb7B9c1ks12	计算：<br/>（1）\\[\\left( -3a{{b}^{2}} \\right)\\cdot \\left( -\\frac{1}{4}{{a}^{3}}{{c}^{2}} \\right)\\cdot 2{{a}^{2}}b\\]；<br/>（2）\\[\\left[ 2{{\\left( a-b \\right)}^{3}} \\right]\\cdot \\left[ -3{{\\left( a-b \\right)}^{2}} \\right]\\cdot \\left[ -\\frac{2}{3}\\left( a-b \\right) \\right]\\]；<br/>（3）\\[{{\\left( -3{{a}^{2}}{{b}^{3}} \\right)}^{2}}\\cdot 4b\\cdot {{\\left( -{{a}^{3}}{{b}^{2}} \\right)}^{5}}\\]；<br/>（4）\\[\\left( -4x{{y}^{3}} \\right)\\cdot {{\\left( -\\frac{1}{2}xy \\right)}^{3}}-{{\\left( \\frac{1}{2}{{x}^{2}}{{y}^{3}} \\right)}^{2}}\\]。<br/>
mjskbkszyb7B9c1ks13	如图是小李家住房的平面示意图，小李打算在卧室和客厅里铺上木地板.请你帮他算一算，他需要买的木地板的面积至少是多少？<br/>
mjskbkszyb7B9c2ks01	计算\\[6x\\cdot \\left( 3-2x \\right)\\]的结果，与下列式子相同的是（   ）。<br/>
mjskbkszyb7B9c2ks02	化简\\[x\\left( y-x \\right)-y\\left( x-y \\right)\\]的结果是（    ）。<br/>
mjskbkszyb7B9c2ks0301	\\[a\\left( a+1 \\right)=\\_\\_\\_\\_\\_\\]；<br/>
mjskbkszyb7B9c2ks0302	\\[-\\frac{1}{5}x\\cdot \\left( 3{{x}^{2}}-4x+5 \\right)=\\_\\_\\_\\_\\_\\_\\_\\_\\]；<br/>
mjskbkszyb7B9c2ks0303	若\\[B\\]是一个单项式，且\\[B\\cdot \\left( -2{{x}^{2}}y+3x{{y}^{2}} \\right)=6{{x}^{3}}{{y}^{2}}-9{{x}^{2}}{{y}^{3}}\\]，则\\[B=\\_\\_\\_\\_\\_\\]；<br/>
mjskbkszyb7B9c2ks0304	当\\[m\\]的值为_____时，\\[2m\\left( 3m-5 \\right)+3m\\left( 1-2m \\right)=14\\]。<br/>
mjskbkszyb7B9c2ks04	计算：<br/>（1）\\[3x\\left( {{x}^{2}}-2x-1 \\right)\\]；<br/>（2）\\[-2{{x}^{2}}y\\left( 3{{x}^{2}}-2x-3 \\right)\\]；<br/>（3）\\[\\left( 2{{x}^{2}}-3xy+4{{y}^{2}} \\right){{\\left( -2xy \\right)}^{2}}\\]；<br/>（4）\\[{{\\left( -x \\right)}^{3}}\\cdot {{\\left( -2x{{y}^{2}} \\right)}^{3}}-4x{{y}^{2}}\\left( 7{{x}^{5}}{{y}^{4}}-0.5x{{y}^{3}} \\right)\\]。<br/>
mjskbkszyb7B9c2ks05	先化简，再求值：\\[{{x}^{n}}\\left( {{x}^{n}}+9x-12 \\right)-3\\left( 3{{x}^{n+1}}-4{{x}^{n}} \\right)\\]，其中\\[x=-2,n=3\\]。<br/>
mjskbkszyb7B9c2ks06	已知\\[2m-3n=-4\\]，求代数式\\[m\\left( n-4 \\right)-n\\left( m-6 \\right)\\]的值。<br/>
mjskbkszyb7B9c2ks07	多项式\\[-{{a}^{2}}\\left( a-b \\right)\\]与\\[a\\left( {{a}^{2}}-ab \\right)\\]的关系是（   ）。<br/>
mjskbkszyb7B9c2ks08	若\\[-5{{x}^{3}}\\cdot \\left( {{x}^{2}}+ax+5 \\right)\\]的计算结果中不含\\[{{x}^{4}}\\]项，则\\[a\\]的值为（   ）。<br/>
mjskbkszyb7B9c2ks0901	\\[\\left( \\frac{1}{2}{{a}^{2}}b-1 \\right)\\cdot \\left( -2a \\right)=\\_\\_\\_\\_\\_\\_\\_\\]；<br/>
mjskbkszyb7B9c2ks0902	若一个直角三角形的两条直角边的长为\\[3m\\]和\\[4m-1\\]，则该直角三角形的面积为______；<br/>
mjskbkszyb7B9c2ks0903	已知单项式\\[M\\]、\\[N\\]满足\\[3x\\left( M-5x \\right)=6{{x}^{2}}{{y}^{2}}+N\\]，则\\[M=\\_\\_\\_\\_;N=\\_\\_\\_\\_.\\] <br/>
mjskbkszyb7B9c2ks0904	当\\[x\\]的值为_____时，\\[{{\\left( \\frac{1}{3} \\right)}^{x}}\\cdot \\left( {{27}^{x}}-{{3}^{x}} \\right)=80.\\] <br/>
mjskbkszyb7B9c2ks10	计算：<br/>（1）\\[{{\\left( -2x \\right)}^{2}}\\left( {{x}^{2}}-\\frac{1}{2}x+1 \\right)\\]；          （2）\\[b\\left( 2a+5b \\right)+a\\left( 3a-2b \\right)\\]；<br/>（3）\\[2{{m}^{2}}-n\\left( 5m-n \\right)-m\\left( 2m-5n \\right)\\]； （4）\\[-5{{x}^{2}}{{\\left( -2xy \\right)}^{2}}-{{x}^{2}}\\left( 7{{x}^{2}}{{y}^{2}}-2x \\right)\\]。<br/>
mjskbkszyb7B9c2ks11	解方程：\\[2x\\left( x-1 \\right)-x\\left( 3x+2 \\right)=-x\\left( x+2 \\right)-12\\]。<br/>
mjskbkszyb7B9c2ks12	已知\\[ab=3\\]，求\\[\\left( 2{{a}^{3}}{{b}^{2}}-3{{a}^{2}}b+4a \\right)\\cdot \\left( -2b \\right)\\]的值.\	<br/>
mjkszyjsb7A3c8ks01	 (2015 •济宁)化简\\[-16(x-0.5)\\]的结果是\	（）<br/>
mjkszyjsb7A3c8ks02	不改变代数式\\[a-(b-3c)\\]的值，把代数式中括号前的“\\[-\\]”号变成“\\[+\\]”，结果是（）<br/>
mjkszyjsb7A3c8ks03	下列去括号的过程是否正确？正确的画“√”，错误的圆“×”并改正.<br/>(1)\\[a-(-b+c-d)=a+b+c-d\\] \	(\	)_____________________;<br/>(2)\\[a+(b-c-d)=a+b+c+d\\] \	(\	)_____________________;<br/> (3)\\[-(a-b)+(c-d)=-a-b+c-d\\]  (\	  )________________________.<br/>
mjkszyjsb7A3c8ks04	 去括号：<br/>(1)\\[(a+b)-(c\\text{+}d)=\\] ___________;<br/>(2)\\[(a-b)-(c-d)=\\] ________________;<br/> (3)\\[(a+b)-(-c+d)=\\] ________________ ；<br/>(4)\\[-\\left[ a-(b-c) \\right]=\\] _______________. <br/>
mjkszyjsb7A3c8ks05	  若\\[m\\]、\\[n\\]互为相反数，则\\[(3m-2n)-(2m-3n)\\]的值为_____________.<br/>
mjkszyjsb7A3c8ks06	  先化简，再求值：<br/>(1)\	\\[(-{{x}^{2}}+5x+4)+(5x-4+2{{x}^{2}})\\]，其中\\[x=-2\\];<br/>(2)\	\\[(9{{a}^{2}}-12ab+5{{b}^{2}})-2(7{{a}^{2}}-6ab+5{{b}^{2}})\\]，其中\\[a=\\frac{1}{2},b=-\\frac{1}{2}\\].<br/>
mjkszyjsb7A3c8ks07	下列去括号的过程中，错误的是(  )<br/>
mjkszyjsb7A3c8ks08	下列各式中，与多项式\\[2{{x}^{3}}-3{{x}^{2}}-x-1\\]相等的是\	（）<br/>
mjkszyjsb7A3c8ks09	 已知\\[{{x}^{2}}-(2x+8)=0\\],则\\[3{{x}^{2}}-6(x+3)\\]的值为\	（）<br/>
mjkszyjsb7A3c8ks10	  (2016 •株洲）化简\\[3a-(2a-1)\\]的结果为__________.<br/>
mjkszyjsb7A3c8ks11	 数学课上,老师讲了多项式的去括号放学后，小明回到家拿出课堂笔记，认真地复习老师课上讲的内容，他突然发现一道题：<br/>\\[(-{{x}^{2}}+3xy-\\frac{1}{2}{{y}^{2}})-(-\\frac{1}{2}{{x}^{2}}+4xy-\\frac{3}{2}{{y}^{2}})=-\\frac{1}{2}{{x}^{2}}\\]________\\[+{{y}^{2}}\\] ，横线上的地方被墨水弄污了，请你帮他补上.<br/><br/>
mjkszyjsb7A3c8ks12	  (2016.荷泽）当\\[1\\ \\ <\\ \\ a\\ \\ <\\ \\ 2\\]时，代数式\\[\\left| a-2 \\right|+\\left| 1-a \\right|\\]的值为________.<br/><br/>
mjkszyjsb7A3c8ks13	 先去括号，再合并同类项：<br/>(1)\\[2(a+1)-a\\]；<br/>(2)\\[(-5{{x}^{3}}-{{x}^{2}})-(-7{{x}^{3}}+2{{x}^{2}})\\] <br/>(3)\\[3x-\\left[ 5x-4(2x-1) \\right]\\] <br/>(4)\\[-3({{a}^{2}}-bc+{{b}^{2}})-2(-{{a}^{2}}+bc-2{{b}^{2}})\\] .<br/>
mjkszyjsb7A3c8ks14	先化简，再求值:\\[2P-\\left[ Q-2P-3(-P+Q) \\right]\\] ，其中\\[P={{a}^{2}}+3ab+{{b}^{2}}\\]，\\[Q={{a}^{2}}-3ab+{{b}^{2}}\\] .<br/>
mjkszyjsb7A3c8ks15	甲、乙两船从同一港口同时出发反向而行，甲船顺水，乙船逆水，两船在静水中的速度都是50 km/h,水 流速度是\\[a\\]km/h.<br/>(1)\	2 h后两船相距多远？<br/>(2)\	4 h后甲船比乙船多航行多少千米？<br/>
mjkszyjsb7A3c7ks01	（2016.来宾）下列计算正确的是（   ）<br/>
mjkszyjsb7A3c7ks02	若\\[3{{x}^{m+5}}{{y}^{2}}\\]与\\[{{x}^{8}}{{y}^{n}}\\]的差是一个单项式，则单项式\\[-{{m}^{n}}\\]的值为________.<br/><br/>
mjkszyjsb7A3c7ks03	已知一个长方形的宽为\\[2m+3n\\]，长比宽多\\[m-n\\],则该长方形的周长为_______________.<br/>
mjkszyjsb7A3c7ks04	合并同类项：<br/>（1）\\[3{{x}^{2}}y+4x{{y}^{2}}-2{{x}^{2}}y-3x{{y}^{2}}=\\]________________<br/>（2）\\[{{a}^{2}}-\\frac{1}{2}ac+2{{a}^{2}}+ac-\\frac{3}{5}{{a}^{2}}=\\]________________<br/><br/>
mjkszyjsb7A3c7ks05	先化简，再求值：<br/>（1）\\[{{a}^{2}}-3a+8-3{{a}^{2}}+4a-6\\]，其中\\[a=-2\\] <br/>（2）\\[\\frac{1}{2}a{{b}^{2}}-\\frac{1}{3}{{a}^{2}}b+\\frac{1}{6}a{{b}^{2}}+{{a}^{2}}b-4\\],其中\\[a=-\\frac{1}{2},b=3\\] <br/><br/>
mjkszyjsb7A3c7ks06	已知\\[{{\\left( x+1 \\right)}^{2}}+\\left| y+2 \\right|=0\\],求代数式\\[5xy-\\frac{3}{2}{{x}^{3}}{{y}^{2}}-4xy+\\frac{1}{2}{{y}^{2}}{{x}^{3}}-\\frac{1}{2}xy-3{{x}^{3}}{{y}^{2}}\\]的值<br/><br/>
mjkszyjsb7A3c7ks07	（2016.泸州）计算\\[3{{a}^{2}}-{{a}^{2}}\\]的结果是（）<br/>
mjkszyjsb7A3c7ks08	若关于\\[x\\]的多项式\\[ax+bx\\]合并同类项后为0，则\\[a\\]、\\[b\\]满足条件（）<br/>
mjkszyjsb7A3c7ks09	某水库的水位第一天连续下降了\\[a\\]小时，平均每小时下降\\[2\\text{cm}\\]；第二天连续上升了\\[a\\]小时，平均每小时上升\\[0.5\\text{cm}\\]，则这两天水位总的变化情况是____________（填“上升”或“下降”）_______________\\[\\text{cm}\\] 。<br/>
mjkszyjsb7A3c7ks10	（1）（2016.沈阳）三个连续整数中，\\[n\\]是最大的一个，这三个数的和为_____________；<br/>（2）已知四个连续的奇数中，最小的为\\[2a-3\\],则这四个连续奇数的和为_____________.<br/><br/>
mjkszyjsb7A3c7ks11	先化简，再求值：<br/>（1）（2015.梧州）\\[2x+7+3x-2\\]，其中\\[x=2\\]；<br/>（2）\\[8{{x}^{2}}-7y+6y-7{{x}^{2}}-7\\]，其中\\[x=3,y=-3\\];<br/>（3）\\[\\frac{2}{3}{{a}^{2}}-8a-\\frac{1}{2}+\\frac{1}{3}a-\\frac{2}{3}{{a}^{2}}+\\frac{1}{4}\\]，其中\\[a=\\frac{3}{4}\\].<br/>
mjkszyjsb7A3c7ks12	将\\[\\left( x+y \\right)\\]、\\[\\left( a-b \\right)\\]分别看成一个整体，合并同类项：<br/>（1）\\[3{{\\left( x+y \\right)}^{2}}-9\\left( x+y \\right)-8{{\\left( x+y \\right)}^{2}}+6\\left( x+y \\right)-1\\]；<br/>（2）\\[2\\left( a-b \\right)-\\frac{5}{8}{{\\left( a-b \\right)}^{2}}-\\frac{2}{3}\\left( a-b \\right)+3{{\\left( b-a \\right)}^{2}}+2\\]。<br/><br/>
mjkszyjsb7A3c7ks13	已知关于\\[x\\]、\\[y\\]的多项式\\[m{{x}^{2}}+4xy-x-2{{x}^{2}}+nxy-3y+8\\]合并同类项后不含二次项，求\\[{{n}^{m}}\\]的值。<br/>
mjskbkszyb7B9c3ks01	计算\\[\\left( x+1 \\right)\\left( x+2 \\right)\\]的结果是（    ）.<br/>
mjskbkszyb7B9c3ks02	若\\[a+b=m,ab=-4\\]，则化简\\[\\left( a-2 \\right)\\left( b-2 \\right)\\]的结果是（    ）。<br/>
mjskbkszyb7B9c3ks03	若\\[\\left( x+t \\right)\\left( x-6 \\right)\\]的积中不含有\\[x\\]的一次项，则\\[t\\]的值为（    ）。<br/>
mjskbkszyb7B9c3ks0401	\\[\\left( 2x+1 \\right)\\left( x-3 \\right)=\\_\\_\\_\\_\\_\\_;\\left( x-2y \\right)\\left( 2x+y \\right)=\\_\\_\\_\\_\\_.\\]<br/>
mjskbkszyb7B9c3ks0402	设长方形\\[ABCD\\]的长为\\[x+3\\]，宽为\\[x+2\\]，则它的面积为____（用含\\[x\\]的代数式表示）；<br/>
mjskbkszyb7B9c3ks0403	若\\[\\left( x+2 \\right)\\left( x-1 \\right)={{x}^{2}}+mx+n\\]，则\\[m+n\\]的值为____；<br/>
mjskbkszyb7B9c3ks0404	三个连续的偶数，若中间一个数为\\[n\\]，则它们的积是____.<br/>
mjskbkszyb7B9c3ks05	计算：<br/>（1）\\[\\left( x-5 \\right)\\left( x-2 \\right)\\]；          （2）\\[\\left( t-1 \\right)\\left( 2t+3 \\right)\\]；<br/>（3）\\[\\left( x+3 \\right)\\left( -x-1 \\right)\\]；         （4）\\[\\left( m+2 \\right)\\left( {{m}^{2}}-2m+4 \\right)\\]；<br/>（5）\\[{{\\left( \\frac{1}{2}a-2b \\right)}^{2}}\\]；             （6）\\[\\left( {{x}^{2}}-1 \\right)\\left( x+1 \\right)-\\left( {{x}^{2}}-2 \\right)\\left( x-4 \\right)\\]。<br/>
mjskbkszyb7B9c3ks06	先化简，再求值：\\[\\left( x+2 \\right)\\left( x-2 \\right)-x\\left( x-1 \\right)\\] ，其中\\[x=-2\\]。<br/>
mjskbkszyb7B9c3ks07	与\\[\\left( 2{{x}^{2}}-4 \\right)\\left( 2x-1-\\frac{3}{2}x \\right)\\]的结果相同的式子是（   ）。<br/>
mjskbkszyb7B9c3ks08	方程\\[\\left( x+4 \\right)\\left( x-5 \\right)={{x}^{2}}-20\\]的解为（    ）。<br/>
